house_lord,house,nature,description
house5lord,house1,Neutral,If the 5th lord is favourably combined and associated the person commands a number of servants becomes a Judge Magistrate or Minister empowered to punish the evil-minded. He will earn the grace of God  few children  will have foes and gives happiness to others. If the 5th lord is afflicted there will be no issues will invoke kshudra devatas evil and destructive forces will be evil-minded and leader of a gang of deceitful persons  a tale-bearer with a sting. If the lord is moderately good mixed results will follow.
house5lord,house2,Neutral,If the 5th lord is favourably disposed the person will be blessed with a beautiful wife and well-behaving children. There will be gains from Government or King. He will become learned and a good astrologer. Lord weak and afflicted Poor  loss of money through Government displeasure  will be unable to maintain his own family  will have family troubles and misunderstandings  becomes a priest in a Siva temple.
house5lord,house3,Neutral,Favourably disposed many good children and brothers If unfavourably disposed loss of children misunderstandings with brothers and continuous occupational troubles. He will become stingy and a tale bearer.
house5lord,house4,Neutral,If favourably disposed the person will have a few sons one of whom will live by agriculture. The mother will live long. May become an adviser to a ruler or his preceptor. The lord afflicted causes death of children. The lord moderately strong confers daughters and no sons.
house5lord,house5,Neutral,Lord favourably disposed indicates a number of sons  becomes great in his own line of activity  otherwise he becomes an expert in Mantrasastra and befriends persons in power. He may also become an expert in mathematics or head of a religious institution. Lord afflicted contrary results should be anticipated. Children will die he will not keep to his word wavering mentality and cruel.
house5lord,house6,Neutral,If the fifth lord is favourably disposed the maternal uncle will be a famous man. He will have enmity with his own son. If the lord is afflicted issues will not be born and he may have to adopt one from maternal uncles line.
house5lord,house7,Neutral,When the lord is favourably disposed the natives son lives abroad and attains distinction wealth and fame. Or he will have a number of issues. He will also become renowned learned prosperous greatly devoted to his master and possesses a charming personality. When-the lord is afflicted there will be loss of children one of whom will die abroad after attaining name and fame.
house5lord,house8,Neutral,Paternal property will be lost due to debts. There will be extinction of the family. He will suffer from lung troubles. He will be peevish unhappy but not poor.
house5lord,house9,Neutral,He will become a teacher or a preceptor. Renovates ancient temples wells choultries and gardens. One of the sons attains distinction as an orator or author. If the lord is afflicted he will earn divine wrath and consequent destruction of fortune.
house5lord,house10,Neutral,If the lord is beneficially disposed a Raja Yoga is formed. Acquires landed property  earns the goodwill of the rulers constructs temples and performs religious sacrifices  one of the sons becomes a gem of the family. If aspected by the Sun the native may join the intelligence department. If the lord is afflicted faces the wrath of the rulers and contrary results will happen.
house5lord,house11,Neutral,Benefits through sons and success in all undertakings becomes rich and learned and helps others will have a number of sons becomes an author.
house5lord,house12,Neutral,Quest for knowing the Ultimate Reality will be pronounced. He will lead a life of non-attachment becomes spiritual moves from one place to another and ultimately attains Moksha.
house6lord,house1,Neutral,Well aspected the person may Join the army as a soldier or Commander consistent with the strength or otherwise of the disposition. Or he may become a Minister of War or. an official or officer concerned with prisons. He will live in the house of his maternal uncle. If the sixth lord is weak and otherwise afflicted he will become a robber or a thief or leader of a criminal gang.
house6lord,house2,Neutral,Conjoined with or aspected by benefics the native will have untold suffering in family life and deep sorrows loss of money through enemies defective vision uneven teeth and stammering. If the sixth lord is weak and otherwise ill-disposed in the 2nd there will be loss of wife in the Dasa or Bhukti of the malefic lord. If Venus is weak the native will be a celibate and poverty stricken just able to get a morsel of food when hungry.
house6lord,house3,Neutral,The sixth lord fortified confers enmity with brothers. Or his maternal uncle befriending the natives brother works against the natives interests or the natives brother suffers from frequent ill-health. The 6th lord weak and afflicted the native will have no younger brothers.
house6lord,house4,Neutral,Well fortified lives in a dilapidated building. He will have breaks in education and will discard his mother. Maternal uncles will generally be land cultivators. Weak and afflicted he will quarrel with his mother and ancestral property will be involved in debts. He will work as a menial and lead a miserable life. Troublesome home and domestic affairs and trouble through servants.
house6lord,house5,Neutral,Sickly children. The native will be adopted by his maternal uncle and become fortunate.
house6lord,house6,Neutral,Increase of cousins. Natives maternal uncle becomes famed. If in conjunction with weak Lagnadhipathi he will suffer from an incurable disease and increase of enmity with kith and kin.
house6lord,house7,Neutral,Generally marries mothers brothers or fathers sisters daughter. The maternal uncle lives in a far-off place or a foreign country. The wifes character will be doubtful. If the sixth lord is afflicted he will either divorce his wife early in life or she will die. If the Rasi and Navamsa involved are hermaphrodite ones he will have a sickly or barren wife. When Lagnadhipati joins the sixth lord in the 7th which happens to be a hermaphrodite sign the native will be a eunuch and unable to perform the sexual act. There will also be troubles with disrespectable women.
house6lord,house8,Neutral,When fortified he will have Madhyayu or middle life. When afflicted he will have plenty of debts and will suffer from loathsome diseases. He will hunt after women other than his own wife and take pleasure in inflicting pain on others.
house6lord,house9,Neutral,Father becomes a judge if the sixth lord is well fortified. The maternal uncle becomes highly fortunate. There will be misunderstandings between him and his father. There will be benefits from Gnatis or cousins. If afflicted  poverty sinful acts misfortunes through relatives ungrateful towards preceptors and engaged in unrighteous deeds. If moderate  becomes a mason timber merchant or stone cutter.
